fraction_allowed_subs,nseq,rep,sample,dist,dist_var,dim,dim_ci
0.238,10000,9,0,0.7547912420082058,0.0005683387453466279,84.5080792848116,9.329327510924502
0.294,100,0,0,0.8070633090909091,0.0004913095823428468,73.2884369252441,8.553383532239192
0.294,1000,0,0,0.8067485192192192,0.0004965281116641454,83.4088522035296,7.907219653317476
0.294,10000,0,0,0.8067257719643942,0.0004978568617528111,98.0731739345145,11.491329668648982
0.294,100,1,0,0.8119966686868687,0.0004832985292457873,64.68902184386519,4.790256175755065
0.294,1000,1,0,0.8111708544344344,0.0004958585036689409,93.33731339765254,7.999692966013292
0.294,10000,1,0,0.8111743623168317,0.0004953757625001248,99.20777717557242,8.795293951657461
0.294,100,2,0,0.804729307070707,0.0004970298954188391,75.00065924049426,6.875264580833378
0.294,1000,2,0,0.8051524243843841,0.0004945224532671052,82.45477998470066,7.952769101508299
0.294,10000,2,0,0.8051619565884617,0.0004941781068708671,95.42686405487564,10.2969723110204
0.294,100,3,0,0.8044861515151516,0.0005023032420982555,70.4686574429226,8.416029235295833
