name	taxid	sp_number	accession_file
Neolamprologus_brichardi	32507	178	GCF_000239395.1_NeoBri1.0_cds_from_genomic.fna.gz
Acinonyx_jubatus	32536	179	GCF_003709585.1_Aci_jub_2_cds_from_genomic.fna.gz
Gambusia_affinis	33528	180	GCA_003097735.1_ASM309773v1_cds_from_genomic.fna.gz
Chinchilla_lanigera	34839	181	GCF_000276665.1_ChiLan1.0_cds_from_genomic.fna.gz
Enhydra_lutris	34882	182	GCF_002288905.1_ASM228890v2_cds_from_genomic.fna.gz
Callorhinus_ursinus	34884	183	GCF_003265705.1_ASM326570v1_cds_from_genomic.fna.gz
Eumetopias_jubatus	34886	184	GCF_004028035.1_ASM402803v1_cds_from_genomic.fna.gz
Thamnophis_elegans	35005	185	GCF_009769535.1_rThaEle1.pri_cds_from_genomic.fna.gz
Thamnophis_sirtalis	35019	186	GCF_001077635.1_Thamnophis_sirtalis-6.0_cds_from_genomic.fna.gz
Mastomys_coucha	35658	187	GCF_008632895.1_UCSF_Mcou_1_cds_from_genomic.fna.gz
Dissostichus_mawsoni	36200	188	GCA_011823955.1_KU_Dm_1.0_cds_from_genomic.fna.gz
Pelecanus_crispus	36300	189	GCF_000687375.1_ASM68737v1_cds_from_genomic.fna.gz
Mustela_erminea	36723	190	GCF_009829155.1_mMusErm1.Pri_cds_from_genomic.fna.gz
Kryptolebias_marmoratus	37003	191	GCF_001649575.1_ASM164957v1_cds_from_genomic.fna.gz
Suricata_suricatta	37032	192	GCF_006229205.1_meerkat_22Aug2017_6uvM2_HiC_cds_from_genomic.fna.gz
Gavia_stellata	37040	193	GCF_000690875.1_ASM69087v1_cds_from_genomic.fna.gz
Eudyptes_pachyrhynchus	37080	194	GCA_010085335.1_BGI_Epac.V1_cds_from_genomic.fna.gz
Spheniscus_magellanicus	37081	195	GCA_010076225.1_BGI_Smag.V1_cds_from_genomic.fna.gz
Eudyptula_minor	37083	196	GCA_010080355.1_BGI_Emin.V1_cds_from_genomic.fna.gz
Megadyptes_antipodes	37085	197	GCA_010078485.1_BGI_Mant.V1_cds_from_genomic.fna.gz
Aotus_nancymaae	37293	198	GCF_000952055.2_Anan_2.0_cds_from_genomic.fna.gz
Phascolarctos_cinereus	38626	199	GCF_002099425.1_phaCin_unsw_v4.1_cds_from_genomic.fna.gz
Alligator_sinensis	38654	200	GCF_000455745.1_ASM45574v1_cds_from_genomic.fna.gz
Monodon_monoceros	40151	201	GCF_005190385.1_NGI_Narwhal_1_cds_from_genomic.fna.gz
Lonchura_striata	40157	202	GCF_005870125.1_lonStrDom2_cds_from_genomic.fna.gz
Seriola_dumerili	41447	203	GCF_002260705.1_Sdu_1.0_cds_from_genomic.fna.gz
Phocoena_sinus	42100	204	GCF_008692025.1_mPhoSin1.pri_cds_from_genomic.fna.gz
Sorex_araneus	42254	205	GCF_000181275.1_SorAra2.0_cds_from_genomic.fna.gz
Pygocentrus_nattereri	42514	206	GCF_001682695.1_Pygocentrus_nattereri-1.0.2_cds_from_genomic.fna.gz
Hirundo_rustica	43150	207	GCA_003692655.1_Chelidonia_cds_from_genomic.fna.gz
Ictidomys_tridecemlineatus	43179	208	GCF_000236235.1_SpeTri2.0_cds_from_genomic.fna.gz
Cathartes_aura	43455	209	GCA_000699945.1_ASM69994v1_cds_from_genomic.fna.gz
Monopterus_albus	43700	210	GCF_001952655.1_M_albus_1.0_cds_from_genomic.fna.gz
Erythrura_gouldiae	44316	211	GCA_003676055.1_GouldianFinch_cds_from_genomic.fna.gz
Zonotrichia_albicollis	44394	212	GCF_000385455.1_Zonotrichia_albicollis-1.0.1_cds_from_genomic.fna.gz
Melospiza_melodia	44397	213	GCA_011057915.1_Mmel_1.0_cds_from_genomic.fna.gz
Oreochromis_aureus	47969	214	GCF_005870065.1_ASM587006v1_cds_from_genomic.fna.gz
Gulo_gulo	48420	215	GCA_900006375.2_Gulo_2.2_annotated_cds_from_genomic.fna.gz
Poecilia_formosa	48698	216	GCF_000485575.1_Poecilia_formosa-5.1.2_cds_from_genomic.fna.gz
Poecilia_latipinna	48699	217	GCF_001443285.1_P_latipinna-1.0_cds_from_genomic.fna.gz
Poecilia_mexicana	48701	218	GCF_001443325.1_P_mexicana-1.0_cds_from_genomic.fna.gz
Pontoporia_blainvillei	48723	219	GCA_011754075.1_ASM1175407v1_cds_from_genomic.fna.gz
Geospiza_fortis	48883	220	GCF_000277835.1_GeoFor_1.0_cds_from_genomic.fna.gz
Charadrius_vociferus	50402	221	GCF_000708025.1_ASM70802v2_cds_from_genomic.fna.gz
Jaculus_jaculus	51337	222	GCF_000280705.1_JacJac1.0_cds_from_genomic.fna.gz
Castor_canadensis	51338	223	GCF_001984765.1_C.can_genome_v1.0_cds_from_genomic.fna.gz
Haliaeetus_leucocephalus	52644	224	GCF_000737465.1_Haliaeetus_leucocephalus-4.0_cds_from_genomic.fna.gz
Austrofundulus_limnaeus	52670	225	GCF_001266775.1_Austrofundulus_limnaeus-1.0_cds_from_genomic.fna.gz
Scophthalmus_maximus	52904	226	GCA_003186165.1_ASM318616v1_cds_from_genomic.fna.gz
Colobus_angolensis	54131	227	GCF_000951035.1_Cang.pa_1.0_cds_from_genomic.fna.gz
Trachypithecus_francoisi	54180	228	GCF_009764315.1_Tfra_2.0_cds_from_genomic.fna.gz
Etheostoma_spectabile	54343	229	GCF_008692095.1_UIUC_Espe_1.0_cds_from_genomic.fna.gz
Mesitornis_unicolor	54374	230	GCF_000695765.1_ASM69576v1_cds_from_genomic.fna.gz
Cariama_cristata	54380	231	GCF_000690535.1_ASM69053v1_cds_from_genomic.fna.gz
Eurypyga_helias	54383	232	GCF_000690775.1_ASM69077v1_cds_from_genomic.fna.gz
Platysternon_megacephalum	55544	233	GCA_003942145.1_ASM394214v1_cds_from_genomic.fna.gz
Cuculus_canorus	55661	234	GCF_000709325.1_ASM70932v1_cds_from_genomic.fna.gz
Neotoma_lepida	56216	235	GCA_001675575.1_ASM167557v1_cds_from_genomic.fna.gz
Tyto_alba	56313	236	GCF_000687205.1_ASM68720v1_cds_from_genomic.fna.gz
Cottoperca_gobio	56716	237	GCF_900634415.1_fCotGob3.1_cds_from_genomic.fna.gz
Labrus_bergylta	56723	238	GCF_900080235.1_BallGen_V1_cds_from_genomic.fna.gz
Acanthisitta_chloris	57068	239	GCF_000695815.1_ASM69581v1_cds_from_genomic.fna.gz
Eudyptes_schlegeli	57240	240	GCA_010080425.1_BGI_Esch.V1_cds_from_genomic.fna.gz
Apaloderma_vittatum	57397	241	GCF_000703405.1_ASM70340v1_cds_from_genomic.fna.gz
Colius_striatus	57412	242	GCF_000690715.1_ASM69071v1_cds_from_genomic.fna.gz
Merops_nubicus	57421	243	GCF_000691845.1_ASM69184v1_cds_from_genomic.fna.gz
Myotis_lucifugus	59463	244	GCF_000147115.1_Myoluc2.0_cds_from_genomic.fna.gz
Rhinolophus_ferrumequinum	59479	245	GCF_004115265.1_mRhiFer1_v1.p_cds_from_genomic.fna.gz
Pantholops_hodgsonii	59538	246	GCF_000400835.1_PHO1.0_cds_from_genomic.fna.gz
Taeniopygia_guttata	59729	247	GCF_008822105.2_bTaeGut2.pat.W.v2_cds_from_genomic.fna.gz
Ficedula_albicollis	59894	248	GCF_000247815.1_FicAlb1.5_cds_from_genomic.fna.gz
Chlorocebus_sabaeus	60711	249	GCF_000409795.2_Chlorocebus_sabeus_1.1_cds_from_genomic.fna.gz
Lynx_canadensis	61383	250	GCF_007474595.1_mLynCan4_v1.p_cds_from_genomic.fna.gz
Rhinopithecus_bieti	61621	251	GCF_001698545.1_ASM169854v1_cds_from_genomic.fna.gz
Rhinopithecus_roxellana	61622	252	GCF_007565055.1_ASM756505v1_cds_from_genomic.fna.gz
Nomascus_leucogenys	61853	253	GCF_006542625.1_Asia_NLE_v1_cds_from_genomic.fna.gz
Archocentrus_centrarchus	63155	254	GCF_007364275.1_fArcCen1_cds_from_genomic.fna.gz
Anabas_testudineus	64144	255	GCF_900324465.1_fAnaTes1.1_cds_from_genomic.fna.gz
Podarcis_muralis	64176	256	GCF_004329235.1_PodMur_1.0_cds_from_genomic.fna.gz
Bos_mutus	72004	257	GCF_000298355.1_BosGru_v2.0_cds_from_genomic.fna.gz
Oncorhynchus_tshawytscha	74940	258	GCF_002872995.1_Otsh_v1.0_cds_from_genomic.fna.gz
Sinocyclocheilus_grahami	75366	259	GCF_001515645.1_SAMN03320097.WGS_v1.1_cds_from_genomic.fna.gz
Scyliorhinus_torazame	75743	260	GCA_003427355.1_Storazame_v1.0_cds_from_genomic.fna.gz
Lontra_canadensis	76717	261	GCF_010015895.1_GSC_riverotter_1.0_cds_from_genomic.fna.gz
Eudyptes_chrysocome	79626	262	GCA_010085355.1_BGI_Echrysoc.V1_cds_from_genomic.fna.gz
Eudyptes_chrysolophus	79627	263	GCA_010084205.1_BGI_Echrysol.V1_cds_from_genomic.fna.gz
Pygoscelis_antarcticus	79643	264	GCA_010078415.1_BGI_Pant.V1_cds_from_genomic.fna.gz
Microtus_ochrogaster	79684	265	GCF_000317375.1_MicOch1.0_cds_from_genomic.fna.gz
Lacerta_agilis	80427	266	GCF_009819535.1_rLacAgi1.pri_cds_from_genomic.fna.gz
Acanthochromis_polyacanthus	80966	267	GCF_002109545.1_ASM210954v1_cds_from_genomic.fna.gz
Amphiprion_ocellaris	80972	268	GCF_002776465.1_AmpOce1.0_cds_from_genomic.fna.gz
Hylobates_moloch	81572	269	GCF_009828535.2_HMol_V2_cds_from_genomic.fna.gz
Labeo_rohita	84645	270	GCA_004120215.1_ASM412021v1_cds_from_genomic.fna.gz
Corvus_brachyrhynchos	85066	271	GCF_000691975.1_ASM69197v1_cds_from_genomic.fna.gz
Camarhynchus_parvulus	87175	272	GCF_901933205.1_STF_HiC_cds_from_genomic.fna.gz
